BAJAJFINSV | 2013-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2013-03 | ROE_ANOMALY | computed=28.38% source=11.72% diff=16.66pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2014-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2014-03 | ROCE_ANOMALY | computed=15.59% source=21.14% diff=5.55pp | category=version difference
BAJAJFINSV | 2014-03 | ROE_ANOMALY | computed=23.53% source=11.72% diff=11.81pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2015-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2015-03 | ROCE_ANOMALY | computed=14.76% source=21.14% diff=6.38pp | category=version difference
BAJAJFINSV | 2015-03 | ROE_ANOMALY | computed=21.72% source=11.72% diff=10.00pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2016-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2016-03 | ROCE_ANOMALY | computed=13.57% source=21.14% diff=7.57pp | category=version difference
BAJAJFINSV | 2016-03 | ROE_ANOMALY | computed=20.41% source=11.72% diff=8.69pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2017-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2017-03 | ROCE_ANOMALY | computed=13.52% source=21.14% diff=7.62pp | category=version difference
BAJAJFINSV | 2017-03 | ROE_ANOMALY | computed=21.36% source=11.72% diff=9.64pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2018-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
